"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"11372","New York","NY","New York","Queens",74,,,,,,,,,,,,,,,,1450,1400,1450,1495,1525,1575,1550,1575,1525,1585,1650,1675,1650,1650,1650,1650,1650,1650,1700,1700,1700,1700,1700,1700,1700,1700,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1775,1750,1750,1750,1800,1800,1850,1850,1850,1850,1850,1850,1850,1850,1850,1750,1775,1800,1800,1800,1875,1825,1750,1900,1800,1800,1775,1800,1795,1800,1800,1837.5,1800,1791.5
"60649","Chicago","IL","Chicago","Cook",75,,,,,,,,,,,,,,,,,,700,750,750,750,750,772.5,750,725,750,750,750,740,750,750,750,755,800,800,795,750,750,740,750,750,750,760,785,800,850,750,790,835.5,812.5,875,900,875,825,900,925,965,982.5,950,1100,1100,1000,1000,1000,1000,1050,1050,1000,1000,1000,980,1000,1000,950,1100,980,1000,1044,1044,1044,1044,1044,1044,1044,1044,1000
"32256","Jacksonville","FL","Jacksonville","Duval",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.5,1159,1000,1025,997.5,942.5,1025,995,1037.5,1025,950,1010,1050,950,1037.5,1000,930,942.5,975,1115,1110,1154.5,1185,1149.5,1150,1069.5,1059,1074,1025,950
"33311","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1175,1070,1100,1225,1122,1100,1100,1187.5,1175,1236,1297,1297,1250,1250,1250,1272.5,1250,1200,1250,1150,1250,1299,1300,1250,1250,1250,1300,1172.5,1200,1237.5
"11218","New York","NY","New York","Kings",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2050,2000,2000,2050,2160,2285,2100,2200,2300,2400,2400,2400,2275,2295,2295,2200,2250,2200,2200,2195,2200,2200,2200,2300,2088,2195,2075,2000,2100,2150,2200,2200,2200,2225,2200,2100
"33027","Miramar","FL","Miami-Fort Lauderdale","Broward",79,,,,,,,,,,,,,1725,1750,1737.5,1700,1700,1750,1700,1700,1700,1689,1700,1700,1787.5,1850,1825,1700,1700,1700,1700,1687.5,1800,1800,1800,1750,1700,1700,1750,1750,1790,1799,1800,1800,1810,1900,1900,1900,1850,1825,1850,1800,1850,1875,1750,1700,1715,1750,1800,1800,1825,1797.5,1800,1800,1800,1900,1800,1800,1750,1800,1800,1800,1925,1750,1825,1850,1700,1800,1825,1800,1900,1950,2000,2000,1937.5,1900
"02155","Medford","MA","Boston","Middlesex",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1700,1797.5,1870,2000,2100,2000,1995,1975,1850,1800,1800,1950,1990,2000,2000,2090,2071,2015,1972.5,2000,1930,1900,1875,2100,2100,2225,2200,2200,2200,2015,2050,2100,2100,2100,2100,2015,2200,2350,2360,2200,2250,2345,2205,2000,2100,2140,2053,2350,2400,2500,2500,2450,2500,2500,2400
"90025","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2285,2500,2495,2275,2295,2422.5,2595,2472.5,2495,2650,2672.5,2275,2395,2335,2447.5,2422,2600,2597.5,2397.5,2510,2275,2150,2335,2495,2150,2497.5,2695,2695,2695,2445,2545,2600,2424.5,2295,2650,2395
"10021","New York","NY","New York","New York",82,,,,,,,,,,,,2650,2695,2875,2750,2865,2857.5,2700,2650,2600,2600,2700,2795,2795,2800,2900,2899.5,2850,2850,2895,2850,2900,2875,2825,2850,2895,2950,2895,2850,2850,2900,2995,3000,3025,3000,2695,2700,2825,2825,2812.5,2850,2750,2900,2900,2950,2695,2825,2800,2950,2995,2850,2750,2897.5,2895,2887.5,2950,2950,2950,2750,2700,2900,2895,2895,2850,2750,2800,2850,2895,2800,2895,2799,2750,2795,2850,2795,2895
"90027","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1750,1895,1795,1895,1995,2095,1895,1895,1895,1995,1950
